nombre,identificador,tipo,proveedor,estado,comentarios
MP-88764,MP9807172,Tarjeta Combustible,Puig-Blazquez,Activo,Modi sunt veniam officiis odio nulla.
MP-21050,MP0931143,Tarjeta Crédito,Escolano Ltd,Activo,Voluptas maxime sint.
MP-94656,MP5939272,Telepeaje,Coello PLC,Activo,Inventore saepe fugiat facere odit nemo.
MP-65223,MP3620831,Tarjeta Combustible,Puig-Blazquez,Cancelado,Mollitia praesentium veniam.
MP-30011,MP2903879,Telemat,"Ródenas, Ayllón and Alberto",Inactivo,Nihil corporis ut.
MP-66353,MP2695183,Telemat,Garcia Group,Activo,Excepturi corrupti distinctio nesciunt.
MP-3795,MP4315713,Tarjeta Crédito,Gargallo Inc,Bloqueado,Odit ut laudantium.
MP-76792,MP7117411,Tarjeta Débito,"Acero, Amaya and Jerez",Baja,Impedit porro eligendi.
MP-63314,MP5960111,Telemat,Cases Inc,Baja,Quo harum ex et autem.
MP-4671,MP8927463,Telepeaje,Ruano-Gras,Inactivo,Nam labore dolorum sit.
MP-43191,MP9620343,Telemat,Gargallo Inc,Baja,Doloremque ratione nobis possimus explicabo.
MP-91945,MP3606660,Tarjeta Crédito,Manjón-Olmo,Cancelado,Eum esse laudantium.
MP-26611,MP1971336,Tarjeta Débito,"Tenorio, Machado and Aroca",Bloqueado,Dolorum nostrum aperiam.
MP-3223,MP1520053,Tarjeta Crédito,"Carbó, Noguera and Borja",Bloqueado,Occaecati possimus impedit.
MP-22317,MP2416722,Telemat,Manzano Inc,Activo,Reprehenderit aut ut perspiciatis ad sed quasi.
MP-50459,MP8648505,Tarjeta Crédito,Sala PLC,Bloqueado,Temporibus aspernatur explicabo quia.
MP-67226,MP8200933,Telemat,Bueno Inc,Baja,Accusamus id est recusandae corporis.
MP-84073,MP2845776,Tarjeta Débito,Carpio-Ribes,Activo,Totam consectetur et magnam dolor.
MP-43293,MP0984132,Telemat,"Cazorla, Gimeno and Mayoral",Baja,Vel repudiandae necessitatibus.
MP-27575,MP0384770,Tarjeta Débito,"Coll, Ruano and Nogués",Bloqueado,Voluptatibus ex totam fugiat ea.
MP-64811,MP8871311,Tarjeta Débito,Manzano PLC,Activo,Cumque veritatis consequatur eos perferendis.
MP-6740,MP0297168,Tarjeta Débito,Carretero Ltd,Baja,Fugiat harum amet officiis harum accusantium.
MP-55197,MP8548215,Telepeaje,Piñol PLC,Baja,Quia perspiciatis temporibus.
MP-43755,MP3266814,Tarjeta Combustible,"Borrás, Palomo and Piña",Bloqueado,Fugit voluptas pariatur nulla.
MP-37318,MP7368076,Tarjeta Combustible,Salvador Group,Activo,Animi harum modi vero.
MP-30860,MP6937248,Tarjeta Crédito,"Cantero, Cortés and Franch",Activo,Nemo numquam totam commodi tenetur.
MP-2943,MP3286463,Telepeaje,Carretero Ltd,Inactivo,Eius rerum cumque.
MP-91972,MP5825759,Telepeaje,Manjón-Olmo,Baja,Nihil nostrum unde fugit.
MP-7458,MP6378105,Tarjeta Débito,Feijoo-Valbuena,Bloqueado,A praesentium est mollitia debitis cum.
MP-30360,MP2315284,Telepeaje,Martorell PLC,Activo,Officiis perspiciatis dolores.
MP-51902,MP7409082,Telepeaje,"Gabaldón, Salazar and Escolano",Inactivo,Voluptas temporibus magni.
MP-8078,MP1317466,Tarjeta Débito,Sola-Cañizares,Cancelado,Minus nulla in.
MP-66973,MP0124446,Telemat,Gonzalo Ltd,Activo,At dolor natus provident esse.
MP-30331,MP6700142,Tarjeta Combustible,Carpio-Ribes,Activo,Repellendus minus quas iste excepturi molestias.
MP-78359,MP3935267,Tarjeta Crédito,Sola-Cañizares,Baja,Minus quaerat neque reprehenderit.
MP-28074,MP4214257,Tarjeta Crédito,Pino-Luna,Bloqueado,Velit non voluptate maiores accusantium saepe.
MP-92562,MP3924949,Tarjeta Combustible,Figueroa-Vélez,Activo,Tempora ut aut iusto praesentium perferendis.
MP-97425,MP1281589,Tarjeta Combustible,Garay Inc,Cancelado,Nulla itaque expedita.
MP-59304,MP8936896,Tarjeta Débito,"Blanca, Azcona and Flor",Baja,Quibusdam quidem ipsum in fuga.
MP-99299,MP9696506,Tarjeta Débito,Sola-Cañizares,Activo,Beatae illum eaque sed molestias.
MP-30717,MP5975432,Telemat,Aroca PLC,Baja,Dicta occaecati ad.
MP-53484,MP3197507,Tarjeta Combustible,Royo-Valbuena,Activo,Aliquid fuga et nemo alias.
MP-7194,MP0225656,Tarjeta Crédito,Santamaria PLC,Cancelado,Veniam nostrum velit explicabo illum debitis.
MP-39358,MP9696278,Tarjeta Crédito,Baena-Cerdá,Bloqueado,Corporis consequatur nesciunt voluptatibus.
MP-79166,MP5028458,Tarjeta Combustible,"Egea, Caparrós and Rodriguez",Bloqueado,Asperiores rem architecto nulla voluptas atque.
MP-14925,MP7236165,Tarjeta Crédito,Luque Inc,Baja,Quibusdam labore sunt nisi ab fuga.
MP-86199,MP7035806,Tarjeta Combustible,Amo Ltd,Inactivo,Quod dicta consectetur error impedit quas.
MP-20599,MP2839295,Tarjeta Combustible,Feijoo-Valbuena,Baja,Tempore ab sequi doloribus ad.
MP-60520,MP4230805,Telepeaje,"Blanca, Azcona and Flor",Baja,Illo quas sunt.
MP-643,MP5548785,Tarjeta Débito,"Tenorio, Machado and Aroca",Inactivo,Maiores perferendis quia architecto.
MP-78831,MP9526428,Tarjeta Crédito,Rodrigo PLC,Bloqueado,Asperiores pariatur atque repudiandae repellendus enim.
MP-94614,MP4678953,Tarjeta Crédito,Figueroa-Vélez,Cancelado,Ipsam ex tenetur.
MP-53732,MP1892662,Tarjeta Combustible,Moll-Carranza,Bloqueado,Doloribus aperiam ipsum.
MP-60349,MP5822779,Telemat,Salvador Group,Cancelado,Soluta expedita voluptatum reiciendis.
MP-84148,MP9831830,Telemat,Figuerola and Sons,Activo,Ullam soluta maiores aut.
MP-80785,MP3230068,Telemat,Núñez-Canales,Cancelado,Blanditiis voluptatem omnis.
